% Model:              HY_Ge-backup.mph
% Version:            COMSOL 6.2.0.415
% Date:               Jul 29 2024, 16:29
% Table:              Table 1 - Global Evaluation 1
% daddy                                           Effective mode index                              real(ewfd.neff) (1)                               Wavelength in free space (nm)                     Propagation constant (rad/m)
38                                                1.4395478471617578                                1.4395478471617578                                477.2                                             1.895420344146848E7
38                                                1.441860126238719-8.011354118838228E-16i          1.441860126238719                                 477.2                                             1.8984648701155115E7
39                                                1.406690035701147-7.184425242487684E-7i           1.406690035701147                                 481.6                                             1.8352354991846703E7
39                                                1.4231225154945242-1.360540797307882E-14i         1.4231225154945242                                481.6                                             1.8566741029218532E7
39                                                1.4252651444025872-1.8658465077873305E-12i        1.4252651444025872                                481.6                                             1.8594694796813797E7
39                                                1.438852638269842                                 1.438852638269842                                 481.6                                             1.877196377901506E7
39                                                1.4412234300892783-9.433731249566965E-16i         1.4412234300892783                                481.6                                             1.880289426972574E7
40                                                1.40558195737712-7.928354668098809E-7i            1.40558195737712                                  485.99999999999994                                1.817187634285729E7
40                                                1.4221635609803256-1.5375291909566988E-14i        1.4221635609803256                                485.99999999999994                                1.838624936369914E7
40                                                1.4243637564502158-2.131841590222954E-12i         1.4243637564502158                                485.99999999999994                                1.8414694293430284E7
40                                                1.4381618003243888                                1.4381618003243888                                485.99999999999994                                1.859308043857025E7
40                                                1.4405919678964487-1.0224744039307766E-15i        1.4405919678964487                                485.99999999999994                                1.8624498531538874E7
41                                                1.404479111439409-8.728923083268175E-7i           1.404479111439409                                 490.3999999999999                                 1.7994703338574093E7
41                                                1.4212066539254478-1.7414516000925744E-14i        1.4212066539254478                                490.3999999999999                                 1.820902277000456E7
41                                                1.4234654135666798-2.433978925868801E-12i         1.4234654135666798                                490.3999999999999                                 1.8237962829935715E7
41                                                1.437474871622057                                 1.437474871622057                                 490.3999999999999                                 1.8417457163163885E7
41                                                1.4399652807975343-1.128421852234642E-15i         1.4399652807975343                                490.3999999999999                                 1.8449365202193707E7
42                                                1.4033814304117724-9.588374099535868E-7i          1.4033814304117724                                494.79999999999995                                1.782074693599822E7
42                                                1.420251680528313-1.9789969999293666E-14i         1.420251680528313                                 494.79999999999995                                1.80349726992575E7
42                                                1.4225700101611751-2.776859738422737E-12i         1.4225700101611751                                494.79999999999995                                1.806441185585895E7
42                                                1.4367917287886824                                1.4367917287886824                                494.79999999999995                                1.8245005415930085E7
42                                                1.4393432480196924-1.245094220049817E-15i         1.4393432480196924                                494.79999999999995                                1.8277405715330385E7
43                                                1.4022888469486559-1.0508899353674986E-6i         1.4022888469486559                                499.20000000000005                                1.764992123311217E7
43                                                1.4192985303621757-2.2621280220974258E-14i        1.4192985303621757                                499.20000000000005                                1.786401376697356E7
43                                                1.4216774440252535-3.165755372494494E-12i         1.4216774440252535                                499.20000000000005                                1.7893955985272635E7
43                                                1.4361122518535023                                1.4361122518535023                                499.20000000000005                                1.8075639824331958E7
43                                                1.4387257521279837-1.4073052452914788E-15i        1.4387257521279837                                499.20000000000005                                1.8108534669133503E7
44                                                1.4012010556103722-1.1492661441642246E-6i         1.4012010556103722                                503.59999999999997                                1.748214035944324E7
44                                                1.418346855996353-2.5646600357847574E-14i         1.418346855996353                                 503.59999999999997                                1.7696060615728047E7
44                                                1.4207873762295147-3.6064523172536337E-12i        1.4207873762295147                                503.59999999999997                                1.7726509862890232E7
44                                                1.4354360854498425                                1.4354360854498425                                503.59999999999997                                1.790927506253739E7
44                                                1.438112440346301-1.5903786506633098E-15i         1.438112440346301                                 503.59999999999997                                1.794266671019868E7
45                                                1.4001177775877078-1.2541772159971452E-6i         1.4001177775877078                                508                                               1.7317321748937048E7
45                                                1.417396339431893-2.941431662961126E-14i          1.417396339431893                                 508                                               1.7531031209387004E7
45                                                1.4198994972762904-4.105611307498511E-12i         1.4198994972762904                                508                                               1.7561991454641864E7
45                                                1.4347629035505831                                1.4347629035505831                                508                                               1.7745829123770364E7
45                                                1.4375029891564228-1.8037343098896603E-15i        1.4375029891564228                                508                                               1.7779719804122776E7
46                                                1.3990389504960439-1.3658269485751318E-6i         1.3990389504960439                                512.4                                             1.7155388325387765E7
46                                                1.4164468835951327-3.3426353011146084E-14i        1.4164468835951327                                512.4                                             1.7368849038651932E7
46                                                1.4190137183622085-4.670594529460884E-12i         1.4190137183622085                                512.4                                             1.7400324250389732E7
46                                                1.4340925996685594                                1.4340925996685594                                512.4                                             1.758522551009459E7
46                                                1.4368972944043839-2.02140468421605E-15i          1.4368972944043839                                512.4                                             1.7619617424136855E7
47                                                1.397964509067834-1.4844139104303886E-6i          1.397964509067834                                 516.8                                             1.699626560242558E7
47                                                1.4154983911982113-3.8055408176842594E-14i        1.4154983911982113                                516.8                                             1.7209440197199967E7
47                                                1.4181299504821958-5.309565559934123E-12i         1.4181299504821958                                516.8                                             1.724143434315218E7
47                                                1.4334250671447317                                1.4334250671447317                                516.8                                             1.742739032667703E7
47                                                1.4362952517007674-2.324736711263178E-15i         1.4362952517007674                                516.8                                             1.7462285646784186E7
48                                                1.396894202629141-1.6101342153365403E-6i          1.396894202629141                                 521.2                                             1.6839879373836838E7
48                                                1.4145505801635536-4.352683926933738E-14i         1.4145505801635536                                521.2                                             1.705273104671143E7
48                                                1.417247920083937-6.031796617707063E-12i          1.417247920083937                                 521.2                                             1.7085248096896045E7
48                                                1.432760015827998                                 1.432760015827998                                 521.2                                             1.7272249961943336E7
48                                                1.4356965731893476-2.5517645453368348E-15i        1.4356965731893476                                521.2                                             1.7307650833137736E7
49                                                1.3958278023033914-1.7431796244528527E-6i         1.3958278023033914                                525.6                                             1.6686158178815525E7
49                                                1.4136031924841226-4.976285740639946E-14i         1.4136031924841226                                525.6                                             1.6898650702432256E7
49                                                1.4163673776867807-6.847758525159291E-12i         1.4163673776867807                                525.6                                             1.6931694629090674E7
49                                                1.4320971795519306                                1.4320971795519306                                525.6                                             1.7119733555962738E7
49                                                1.4351009949195-2.912383668570088E-15i            1.4351009949195                                   525.6                                             1.7155642095884714E7
50                                                1.3947652481486494-1.8837356050261491E-6i         1.3947652481486494                                530                                               1.6535034932325063E7
50                                                1.4126561429170363-5.672975520585189E-14i         1.4126561429170363                                530                                               1.6747132681647751E7
50                                                1.4154882463808696-7.768761374216473E-12i         1.4154882463808696                                530                                               1.6780707456878636E7
50                                                1.4314364637912265                                1.4314364637912265                                530                                               1.696977463670592E7
50                                                1.4345084244333595-3.3078994711706144E-15i        1.4345084244333595                                530                                               1.700619293476419E7
51                                                1.393706478063865-2.0319838644468494E-6i          1.393706478063865                                 534.4                                             1.6386444733330624E7
51                                                1.4117093461162986-6.480211128711732E-14i         1.4117093461162986                                534.4                                             1.659811268998134E7
51                                                1.414610449166548-8.807953977990305E-12i          1.414610449166548                                 534.4                                             1.663222228590189E7
51                                                1.4307777739504322                                1.4307777739504322                                534.4                                             1.6822308920517348E7
51                                                1.4339187691394184-3.6635700325237424E-15i        1.4339187691394184                                534.4                                             1.6859239038072288E7
52                                                1.3926513204400819-2.188104726253716E-6i          1.3926513204400819                                538.8                                             1.6240323523781313E7
52                                                1.410762607810363-7.412656268508053E-14i          1.410762607810363                                 538.8                                             1.64515272630149E7
52                                                1.4137338002787776-9.979442572004438E-12i         1.4137338002787776                                538.8                                             1.6486175653628014E7
52                                                1.4301209073040857                                1.4301209073040857                                538.8                                             1.6677272962626891E7
52                                                1.4333318283020267-4.216345028982255E-15i         1.4333318283020267                                538.8                                             1.6714716933741918E7
